(5, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 2, 3, 14, 27), '-')
(6, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 2, 3, 16, 35), '-')
(7, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 2, 3, 18, 15), '-')
(8, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 2, 3, 19, 10), '-')
(9, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 2, 3, 27, 9), '-')
(10, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 2, 3, 28, 9), '-')
(11, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 2, 3, 29, 49), '-')
(12, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 2, 3, 31, 34), '-')
(13, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 2, 3, 31, 38), '-')
(14, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 0, 48, 58), '-')
(15, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 0, 54, 43), '-')
(16, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 0, 59, 10), '-')
(17, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 0, 59, 12), '-')
(18, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 0, 25), '-')
(19, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 1, 0, 40), '-')
(20, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 1, 23), '-')
(21, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 1, 1, 26), '-')
(22, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 3, 31), '-')
(23, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 1, 3, 32), '-')
(24, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 5, 31), '-')
(25, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 9, 17), '-')
(26, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 10, 47), '-')
(27, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 30, 47), '-')
(28, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 1, 39, 11), '-')
(29, 'employee2@example.com', 'Login', datetime.datetime(2024, 6, 5, 1, 39, 33), '-')
(30, 'employee2@example.com', 'Logout', datetime.datetime(2024, 6, 5, 1, 41, 18), '-')
(31, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 2, 17, 2), '-')
(32, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 2, 25, 3), '-')
(33, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 2, 25, 24), '-')
(34, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 2, 26, 14), '-')
(35, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 2, 36, 9), '-')
(36, 'admin@example.com', 'Add User', datetime.datetime(2024, 6, 5, 2, 38, 3), 'User has added employee3@example.com of Marketing')
(37, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 2, 54, 31), '-')
(38, 'admin@example.com', 'Logout', datetime.datetime(2024, 6, 5, 3, 12, 23), '-')
(39, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 3, 13, 14), '-')
(40, 'employee1@example.com', 'Request Updated', datetime.datetime(2024, 6, 5, 3, 17, 36), 'User has raised a reimbursement request of 1000 for Tech assets performed on 2024-05-28')
(41, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 3, 20, 29), '-')
(42, 'employee3@example.com', 'Login', datetime.datetime(2024, 6, 5, 3, 20, 52), '-')
(43, 'employee3@example.com', 'Logout', datetime.datetime(2024, 6, 5, 3, 23, 11), '-')
(44, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 3, 24, 10), '-')
(45, 'manager1@example.com', 'Request Updated', datetime.datetime(2024, 6, 5, 3, 28, 38), 'User has changed the status of reumbursement request to approved with a comment:')
(46, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 3, 37, 32), '-')
(47, 'manager1@example.com', 'Request Updated', datetime.datetime(2024, 6, 5, 3, 37, 42), 'User has changed the status of reumbursement request to approved with a comment:')
(48, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 3, 45, 3), '-')
(49, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 3, 49, 23), '-')
(50, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 3, 51, 15), '-')
(51, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 12, 29, 24), '-')
(52, 'admin@example.com', 'Add Department', datetime.datetime(2024, 6, 5, 12, 35, 29), 'User has deleted Operations department')
(53, 'admin@example.com', 'Add Department', datetime.datetime(2024, 6, 5, 12, 36, 20), 'User has added new department i.e. Operations')
(54, 'admin@example.com', 'Delete User', datetime.datetime(2024, 6, 5, 12, 37, 5), 'User has deleted the user with the email id employee3@example.com')
(55, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 12, 43, 53), '-')
(56, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 12, 49, 49), '-')
(57, 'admin@example.com', 'Login', datetime.datetime(2024, 6, 5, 13, 58, 53), '-')
(58, 'admin@example.com', 'Add User', datetime.datetime(2024, 6, 5, 13, 59, 32), 'User has added employee3@example.com of Marketing')
(59, 'admin@example.com', 'Delete User', datetime.datetime(2024, 6, 5, 13, 59, 57), 'User has deleted the user with the email id employee3@example.com')
(60, 'admin@example.com', 'Add Department', datetime.datetime(2024, 6, 5, 14, 0, 13), 'User has added new department i.e. Writing')
(61, 'admin@example.com', 'Add Department', datetime.datetime(2024, 6, 5, 14, 0, 26), 'User has deleted Writing department')
(62, 'admin@example.com', 'Logout', datetime.datetime(2024, 6, 5, 14, 0, 35), '-')
(63, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 14, 0, 58), '-')
(64, 'employee1@example.com', 'Reimbursement Request Raised', datetime.datetime(2024, 6, 5, 14, 1, 11), 'User has raised a reimbursement request of 5000 for Travelling performed on 2024-05-28')
(65, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 14, 1, 26), '-')
(66, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 14, 1, 42), '-')
(67, 'manager1@example.com', 'Request Updated', datetime.datetime(2024, 6, 5, 14, 1, 50), 'User has changed the status of reumbursement request to approved with a comment:')
(68, 'manager1@example.com', 'Request Updated', datetime.datetime(2024, 6, 5, 14, 1, 51), 'User has changed the status of reumbursement request to approved with a comment:')
(69, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 14, 2, 1), '-')
(70, 'manager2@example.com', 'Login', datetime.datetime(2024, 6, 5, 14, 2, 19), '-')
(71, 'manager2@example.com', 'Logout', datetime.datetime(2024, 6, 5, 14, 2, 30), '-')
(72, 'employee2@example.com', 'Login', datetime.datetime(2024, 6, 5, 14, 2, 39), '-')
(73, 'employee2@example.com', 'Logout', datetime.datetime(2024, 6, 5, 14, 2, 45), '-')
(74, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 16, 6, 31), '-')
(75, 'employee1@example.com', 'Reimbursement Request Raised', datetime.datetime(2024, 6, 5, 16, 6, 55), 'User has raised a reimbursement request of 5000 for Travelling performed on 2024-05-29')
(76, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 16, 7, 28), '-')
(77, 'manager1@example.com', 'Login', datetime.datetime(2024, 6, 5, 16, 7, 51), '-')
(78, 'manager1@example.com', 'Request Updated', datetime.datetime(2024, 6, 5, 16, 8, 14), 'User has changed the status of reumbursement request to approved with a comment:')
(79, 'manager1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 16, 8, 33), '-')
(80, 'employee1@example.com', 'Login', datetime.datetime(2024, 6, 5, 16, 8, 46), '-')
(81, 'employee1@example.com', 'Logout', datetime.datetime(2024, 6, 5, 16, 9, 9), '-')
(82, 'employee2@example.com', 'Login', datetime.datetime(2024, 6, 5, 16, 9, 17), '-')
(83, 'employee2@example.com', 'Logout', datetime.datetime(2024, 6, 5, 16, 9, 28), '-')
(84, 'manager2@example.com', 'Login', datetime.datetime(2024, 6, 5, 16, 11, 8), '-')
(85, 'manager2@example.com', 'Logout', datetime.datetime(2024, 6, 5, 16, 13, 13), '-')
(86, 'employee2@example.com', 'Login', datetime.datetime(2024, 6, 5, 16, 13, 33), '-')
(87, 'employee2@example.com', 'Reimbursement Request Raised', datetime.datetime(2024, 6, 5, 16, 13, 59), 'User has raised a reimbursement request of 200 for Re-location performed on 2024-06-14')
(88, 'employee2@example.com', 'Logout', datetime.datetime(2024, 6, 5, 16, 15, 3), '-')
(89, 'admin@company.com', 'Login', datetime.datetime(2024, 6, 5, 16, 20, 46), '-')
